2025-12-29 23:14:00,183 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 450, 936)
2025-12-29 23:14:00,197 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3675, 1164) localPos=PyQt5.QtCore.QPoint(3675, 1164)
2025-12-29 23:14:00,199 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 452, 938)
2025-12-29 23:14:00,205 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3677, 1168) localPos=PyQt5.QtCore.QPoint(3677, 1168)
2025-12-29 23:14:00,208 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 454, 942)
2025-12-29 23:14:00,216 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3677, 1169) localPos=PyQt5.QtCore.QPoint(3677, 1169)
2025-12-29 23:14:00,218 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 454, 943)
2025-12-29 23:14:00,227 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3677, 1171) localPos=PyQt5.QtCore.QPoint(3677, 1171)
2025-12-29 23:14:00,230 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 454, 945)
2025-12-29 23:14:00,240 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3679, 1174) localPos=PyQt5.QtCore.QPoint(3679, 1174)
2025-12-29 23:14:00,244 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 456, 948)
2025-12-29 23:14:00,252 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3679, 1176) localPos=PyQt5.QtCore.QPoint(3679, 1176)
2025-12-29 23:14:00,254 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 456, 950)
2025-12-29 23:14:00,267 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3680, 1177) localPos=PyQt5.QtCore.QPoint(3680, 1177)
2025-12-29 23:14:00,270 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 457, 951)
2025-12-29 23:14:00,289 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3681, 1180) localPos=PyQt5.QtCore.QPoint(3681, 1180)
2025-12-29 23:14:00,295 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 458, 954)
2025-12-29 23:14:00,313 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3681, 1181) localPos=PyQt5.QtCore.QPoint(3681, 1181)
2025-12-29 23:14:00,313 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3681, 1182) localPos=PyQt5.QtCore.QPoint(3681, 1182)
2025-12-29 23:14:00,320 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 458, 956)
2025-12-29 23:14:00,340 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3682, 1183) localPos=PyQt5.QtCore.QPoint(3682, 1183)
2025-12-29 23:14:00,345 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 459, 957)
2025-12-29 23:14:00,359 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3682, 1188) localPos=PyQt5.QtCore.QPoint(3682, 1188)
2025-12-29 23:14:00,365 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 459, 962)
2025-12-29 23:14:00,383 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3682, 1191) localPos=PyQt5.QtCore.QPoint(3682, 1191)
2025-12-29 23:14:00,386 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 459, 965)
2025-12-29 23:14:00,403 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3682, 1197) localPos=PyQt5.QtCore.QPoint(3682, 1197)
2025-12-29 23:14:00,406 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 459, 971)
2025-12-29 23:14:00,423 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3683, 1202) localPos=PyQt5.QtCore.QPoint(3683, 1202)
2025-12-29 23:14:00,426 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 460, 976)
2025-12-29 23:14:00,435 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3683, 1207) localPos=PyQt5.QtCore.QPoint(3683, 1207)
2025-12-29 23:14:00,438 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 460, 981)
2025-12-29 23:14:00,449 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3683, 1216) localPos=PyQt5.QtCore.QPoint(3683, 1216)
2025-12-29 23:14:00,453 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 460, 990)
2025-12-29 23:14:00,468 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3684, 1221) localPos=PyQt5.QtCore.QPoint(3684, 1221)
2025-12-29 23:14:00,471 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 461, 995)
2025-12-29 23:14:00,488 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3685, 1231) localPos=PyQt5.QtCore.QPoint(3685, 1231)
2025-12-29 23:14:00,496 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 462, 1005)
2025-12-29 23:14:00,510 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3687, 1237) localPos=PyQt5.QtCore.QPoint(3687, 1237)
2025-12-29 23:14:00,516 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 464, 1011)
2025-12-29 23:14:00,533 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1247) localPos=PyQt5.QtCore.QPoint(3690, 1247)
2025-12-29 23:14:00,537 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1021)
2025-12-29 23:14:00,551 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1257) localPos=PyQt5.QtCore.QPoint(3690, 1257)
2025-12-29 23:14:00,556 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1031)
2025-12-29 23:14:00,570 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1259) localPos=PyQt5.QtCore.QPoint(3690, 1259)
2025-12-29 23:14:00,575 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1033)
2025-12-29 23:14:00,586 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1261) localPos=PyQt5.QtCore.QPoint(3690, 1261)
2025-12-29 23:14:00,589 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1035)
2025-12-29 23:14:00,604 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1262) localPos=PyQt5.QtCore.QPoint(3690, 1262)
2025-12-29 23:14:00,607 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1036)
2025-12-29 23:14:00,620 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1263) localPos=PyQt5.QtCore.QPoint(3690, 1263)
2025-12-29 23:14:00,620 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1265) localPos=PyQt5.QtCore.QPoint(3690, 1265)
2025-12-29 23:14:00,622 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1039)
2025-12-29 23:14:00,635 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1266) localPos=PyQt5.QtCore.QPoint(3690, 1266)
2025-12-29 23:14:00,637 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1040)
2025-12-29 23:14:00,647 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1267) localPos=PyQt5.QtCore.QPoint(3690, 1267)
2025-12-29 23:14:00,649 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1041)
2025-12-29 23:14:00,668 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1268) localPos=PyQt5.QtCore.QPoint(3690, 1268)
2025-12-29 23:14:00,669 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1042)
2025-12-29 23:14:00,683 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1269) localPos=PyQt5.QtCore.QPoint(3690, 1269)
2025-12-29 23:14:00,685 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1043)
2025-12-29 23:14:00,700 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3690, 1270) localPos=PyQt5.QtCore.QPoint(3690, 1270)
2025-12-29 23:14:00,702 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1044)
2025-12-29 23:14:00,892 [INFO] mouseReleaseEvent: button=1 globalPos=PyQt5.QtCore.QPoint(3690, 1270) localPos=PyQt5.QtCore.QPoint(3690, 1270) dragging=True
2025-12-29 23:14:00,893 [INFO] end draw: start PyQt5.QtCore.QPoint(3224, 227), end PyQt5.QtCore.QPoint(3690, 1270)
2025-12-29 23:14:00,894 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3224, 227, 467, 1044)
2025-12-29 23:14:04,275 [INFO] mousePressEvent: button=1 globalPos=PyQt5.QtCore.QPoint(3375, 617) localPos=PyQt5.QtCore.QPoint(3375, 617)
2025-12-29 23:14:04,380 [INFO] mouseReleaseEvent: button=1 globalPos=PyQt5.QtCore.QPoint(3375, 617) localPos=PyQt5.QtCore.QPoint(3375, 617) dragging=True
2025-12-29 23:14:04,380 [INFO] end draw: start PyQt5.QtCore.QPoint(3375, 617), end PyQt5.QtCore.QPoint(3375, 617)
2025-12-29 23:14:05,292 [INFO] mousePressEvent: button=1 globalPos=PyQt5.QtCore.QPoint(3336, 485) localPos=PyQt5.QtCore.QPoint(3336, 485)
2025-12-29 23:14:05,323 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3336, 486) localPos=PyQt5.QtCore.QPoint(3336, 486)
2025-12-29 23:14:05,326 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3336, 485, 1, 2)
2025-12-29 23:14:05,336 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3338, 494) localPos=PyQt5.QtCore.QPoint(3338, 494)
2025-12-29 23:14:05,338 [INFO] paintEvent: drawing rect PyQt5.QtCore.QRect(3336, 485, 3, 10)
2025-12-29 23:14:05,346 [INFO] mouseMoveEvent while dragging: globalPos=PyQt5.QtCore.QPoint(3342, 504) localPos=PyQt5.QtCore.QPoint(3342, 504)
